id,bank_id,latitude,longitude,changeset,uid,timestamp,version
0,17,39.8848036,32.8554963,45790800,1686268,2017-02-03T21:11:05Z,11
1,17,39.9013211,32.862259,45412814,1686268,2017-01-23T21:05:25Z,7
2,3,39.900656,32.8619207,22271948,584117,2014-05-11T14:14:05Z,6
3,3,39.8880618,32.874103,761071,11395,2008-11-17T16:55:05Z,1
4,18,39.8924122,32.7771941,4169415,136178,2010-03-19T12:05:54Z,1
5,8,39.8925179,32.7879099,25686012,689014,2014-09-26T13:30:33Z,2
6,4,39.8925709,32.7878995,25686012,689014,2014-09-26T13:30:33Z,2
7,9,39.893389,32.7844412,45418444,689014,2017-01-24T02:13:58Z,3
8,5,39.8933483,32.7844463,45418444,689014,2017-01-24T02:13:58Z,2
9,18,39.8933114,32.7844509,45418444,689014,2017-01-24T02:13:58Z,2
10,9,40.023359,32.9199946,34627471,436145,2015-10-14T07:46:56Z,2
11,2,40.0234369,32.9200653,34627471,436145,2015-10-14T07:46:56Z,2
12,5,39.9589165,32.5672151,42957108,1386706,2016-10-17T11:10:52Z,3
13,9,39.9801473,32.8364747,17087291,1592082,2013-07-25T11:24:50Z,1
14,1,39.8926237,32.7878821,25686012,689014,2014-09-26T13:30:29Z,1
15,21,39.8927316,32.7878593,25686012,689014,2014-09-26T13:30:29Z,1
16,17,39.8926833,32.7878714,25686012,689014,2014-09-26T13:30:30Z,1
17,9,39.9823305,32.6938112,31037831,1720218,2015-05-12T08:30:50Z,1
18,4,39.9686778,32.7273038,31038115,1720218,2015-05-12T08:34:32Z,1
19,9,39.9457927,32.6679336,33568795,1386706,2015-08-25T11:39:08Z,1
20,9,39.7831632,32.8063364,33587677,1386706,2015-08-26T05:51:14Z,1
21,8,39.9700489,32.6526908,33879745,3154081,2015-09-08T11:17:30Z,1
22,8,39.7917596,32.8413181,35263070,1386706,2015-11-12T14:55:06Z,1
23,2,39.7917225,32.841243,35263070,1386706,2015-11-12T14:55:06Z,1
24,3,39.8421828,32.5444591,35487725,3390660,2015-11-21T13:48:26Z,1
25,9,39.842189,32.5444777,35487725,3390660,2015-11-21T13:48:26Z,1
26,6,39.9823637,32.8349682,35918375,3442773,2015-12-12T23:30:40Z,1
27,6,39.9723427,32.8249092,35918384,3442773,2015-12-12T23:31:40Z,1
28,2,39.9833829,32.8190876,37998178,1386706,2016-03-22T12:24:14Z,1
29,8,39.9742646,32.8299633,38014849,1386706,2016-03-23T08:08:04Z,1
30,5,39.994881,32.8342171,38016094,1386706,2016-03-23T09:31:08Z,1
31,8,40.0037921,32.8575675,38019771,1386706,2016-03-23T12:54:54Z,1
32,18,40.0037615,32.8575675,38019771,1386706,2016-03-23T12:54:54Z,1
33,5,40.0037225,32.8575736,38019771,1386706,2016-03-23T12:54:54Z,1
34,17,40.0076882,32.8606383,38021581,1386706,2016-03-23T14:37:45Z,1
35,8,39.992789,32.8744029,38064074,1386706,2016-03-25T14:30:33Z,1
36,5,39.9912128,32.866329,38112181,1386706,2016-03-28T05:50:17Z,1
37,2,39.9865045,32.8650603,38112181,1386706,2016-03-28T05:50:18Z,1
38,4,39.9475356,32.6102145,38121676,3755317,2016-03-28T14:25:47Z,1
39,1,39.9480506,32.6097627,38121740,3755317,2016-03-28T14:28:59Z,1
40,2,39.9475587,32.6100783,38121697,3755317,2016-03-28T14:26:43Z,1
41,8,39.9475791,32.6099385,38121718,3755317,2016-03-28T14:27:57Z,1
42,4,39.948475,32.6096306,38121778,3755317,2016-03-28T14:31:04Z,1
43,5,39.9484877,32.6095776,38121799,3755317,2016-03-28T14:31:42Z,1
44,8,39.9229023,32.9039508,38220586,1386706,2016-04-01T08:22:40Z,1
45,9,39.9743976,32.6467484,46971985,5349861,2017-03-19T05:00:28Z,4
46,17,39.9745865,32.6468031,46971985,5349861,2017-03-19T05:00:28Z,5
47,18,39.9755019,32.6453525,46971985,5349861,2017-03-19T05:00:28Z,3
48,9,39.9744926,32.8611711,38942468,1386706,2016-04-28T06:12:29Z,1
49,17,39.9807824,32.8735501,38980934,1386706,2016-04-29T13:32:04Z,1
50,0,39.9807564,32.8735131,38980934,1386706,2016-04-29T13:32:04Z,1
51,3,39.980721,32.87347,38980934,1386706,2016-04-29T13:32:05Z,1
52,2,39.9807305,32.8733961,38980934,1386706,2016-04-29T13:32:05Z,1
53,9,39.9807682,32.873319,38980934,1386706,2016-04-29T13:32:05Z,1
54,18,39.9759382,32.866457,39017067,1386706,2016-05-01T13:37:04Z,1
55,5,39.9204037,32.862882,39708739,1386706,2016-06-01T11:50:14Z,1
56,4,39.9620878,32.8778097,39725550,1386706,2016-06-02T05:31:17Z,1
57,4,39.9312073,32.9129638,39814990,1386706,2016-06-05T12:08:54Z,1
58,9,39.900817,32.9378062,40389259,1386706,2016-06-30T10:59:39Z,1
59,9,39.9343275,32.8755198,41387625,1386706,2016-08-11T12:02:28Z,1
60,5,39.8659362,32.8201756,41632757,1386706,2016-08-23T08:50:29Z,1
61,9,39.8699072,32.8269268,41633942,1386706,2016-08-23T09:56:07Z,1
62,5,39.8699276,32.826964,41633942,1386706,2016-08-23T09:56:07Z,1
63,1,39.8699439,32.8269994,41633942,1386706,2016-08-23T09:56:07Z,1
64,0,39.8699589,32.8270348,41633942,1386706,2016-08-23T09:56:07Z,1
65,18,39.8699738,32.8270755,41633942,1386706,2016-08-23T09:56:07Z,1
66,13,39.8699969,32.8271073,41633942,1386706,2016-08-23T09:56:07Z,1
67,3,39.8743303,32.86633,41820369,1386706,2016-08-31T07:41:52Z,1
68,2,39.982348,32.6938727,41855645,4514088,2016-09-01T19:08:07Z,1
69,9,39.8933667,32.7979408,41937621,4533191,2016-09-05T18:17:58Z,1
70,9,39.9647709,32.8714212,41962179,1386706,2016-09-06T18:11:28Z,1
71,2,39.8754445,32.8347242,41976725,1386706,2016-09-07T11:08:24Z,2
72,9,39.8742219,32.8341325,48955129,1588706,2017-05-24T19:21:11Z,2
73,2,39.9553863,32.8642279,42013557,436145,2016-09-08T21:54:34Z,1
74,4,39.9354345,32.8944426,42241256,1386706,2016-09-18T07:52:01Z,2
75,9,39.9354477,32.8944096,42241256,1386706,2016-09-18T07:52:01Z,4
76,17,39.9354597,32.894373,42241256,1386706,2016-09-18T07:52:01Z,3
77,8,39.9359844,32.893844,42241661,4594899,2016-09-18T08:17:35Z,2
78,8,39.8779009,32.878943,42339827,1386706,2016-09-22T07:04:25Z,2
79,12,39.8482387,32.8306807,42443024,1386706,2016-09-26T11:39:04Z,1
80,4,39.9605718,32.5854731,42461650,1386706,2016-09-27T06:05:06Z,1
81,5,39.9606179,32.5854743,42461650,1386706,2016-09-27T06:05:05Z,1
82,2,39.9606622,32.5854825,42461650,1386706,2016-09-27T06:05:04Z,1
83,9,39.9489218,32.6131474,42769941,1386706,2016-10-10T07:17:12Z,1
84,2,39.9469102,32.6608469,43105310,1386706,2016-10-23T17:40:08Z,1
85,17,39.9652369,32.5782509,43532135,1386706,2016-11-10T11:44:32Z,1
86,18,39.9651684,32.5782509,43532135,1386706,2016-11-10T11:44:32Z,1
87,0,39.9649658,32.5770861,43532135,1386706,2016-11-10T11:44:32Z,1
88,9,39.9645914,32.5819057,43636251,1386706,2016-11-14T10:56:52Z,1
89,5,39.964603,32.5818753,43636251,1386706,2016-11-14T10:56:52Z,1
90,1,39.9646137,32.5818473,43636251,1386706,2016-11-14T10:56:52Z,1
91,9,40.0036634,32.5236171,43917550,1386706,2016-11-24T10:48:11Z,1
92,9,39.9924212,32.6144061,43938752,1386706,2016-11-25T08:16:47Z,1
93,2,39.9924084,32.6143784,43938752,1386706,2016-11-25T08:16:47Z,1
94,5,39.9923996,32.6143468,43938752,1386706,2016-11-25T08:16:47Z,1
95,17,39.9923926,32.6143207,43938752,1386706,2016-11-25T08:16:47Z,1
96,3,39.9525895,32.6409716,44033415,1386706,2016-11-29T12:37:12Z,1
97,18,39.9636611,32.7825019,44557424,1386706,2016-12-21T06:18:07Z,1
98,5,39.9636909,32.7825094,44557424,1386706,2016-12-21T06:18:07Z,1
99,17,39.9637197,32.7825209,44557424,1386706,2016-12-21T06:18:07Z,1
100,9,39.9637566,32.7825279,44557424,1386706,2016-12-21T06:18:07Z,1
101,1,39.974525,32.6468069,46971985,5349861,2017-03-19T05:00:27Z,3
102,5,39.980884,32.6478138,49202210,5349861,2017-06-02T17:14:33Z,1
103,8,39.980884,32.6477838,49202210,5349861,2017-06-02T17:14:33Z,1
104,8,39.9879156,32.6449816,49343377,5349861,2017-06-07T17:55:51Z,1
105,3,39.8512284,32.6011556,49547432,5349861,2017-06-15T05:04:23Z,1
106,0,39.9866419,32.6462631,49602138,5349861,2017-06-16T20:58:29Z,1
107,17,39.9866931,32.6462155,49602138,5349861,2017-06-16T20:58:29Z,1
108,9,39.9811024,32.6489767,49602138,5349861,2017-06-16T20:58:29Z,1
109,5,40.0236046,32.9202775,49760272,436145,2017-06-23T02:34:47Z,1
